year,sector_id_six,home_based_status,county_id,total_number_of_jobs
2027,6,1,8047,12
2027,1,1,8059,113
2027,2,1,8059,141
2027,3,1,8059,3060
2027,4,1,8059,11
2027,5,1,8059,596
2027,6,1,8059,5123
2027,1,1,8123,3
2027,2,1,8123,9
2027,3,1,8123,332
2027,4,1,8123,1
2027,5,1,8123,37
2027,6,1,8123,322
2028,1,1,8001,249
2028,2,1,8001,374
2028,3,1,8001,7405
2028,4,1,8001,36
2028,5,1,8001,1073
2028,6,1,8001,5498
2028,1,1,8005,96
2028,2,1,8005,160
2028,3,1,8005,2942
2028,4,1,8005,21
2028,5,1,8005,637
2028,6,1,8005,11253
